date,district,risk_level,risk_name,confidence_ok
2025-08-09,ΑΓΙΑΣ,3,ΥΨΗΛΗ,True
2025-08-09,ΑΓΙΟΥ ΟΡΟΥΣ,4,ΠΟΛΥ ΥΨΗΛΗ,True
2025-08-09,ΑΓΡΙΝΙΟΥ,4,ΠΟΛΥ ΥΨΗΛΗ,True
2025-08-09,ΑΘΗΝΩΝ Δ.Δ.,5,ΚΑΤΑΣΤΑΣΗ ΣΥΝΑΓΕΡΜΟΥ,False
2025-08-09,ΑΙΓΑΛΕΩ,5,ΚΑΤΑΣΤΑΣΗ ΣΥΝΑΓΕΡΜΟΥ,True
2025-08-09,ΑΙΓΙΟΥ,5,ΚΑΤΑΣΤΑΣΗ ΣΥΝΑΓΕΡΜΟΥ,True
2025-08-09,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,4,ΠΟΛΥ ΥΨΗΛΗ,True
2025-08-09,ΑΛΜΥΡΟΥ,3,ΥΨΗΛΗ,True
2025-08-09,ΑΜΑΛΙΑΔΑΣ,5,ΚΑΤΑΣΤΑΣΗ ΣΥΝΑΓΕΡΜΟΥ,True
2025-08-09,ΑΜΦΙΛΟΧΙΑΣ,4,ΠΟΛΥ ΥΨΗΛΗ,True
2025-08-09,ΑΜΦΙΣΣΑΣ,4,ΠΟΛΥ ΥΨΗΛΗ,True
2025-08-09,ΑΡΓΟΛΙΔΑΣ Δ.Δ.,5,ΚΑΤΑΣΤΑΣΗ ΣΥΝΑΓΕΡΜΟΥ,True
2025-08-09,ΑΡΙΔΑΙΑΣ,2,ΜΕΣΗ,True
2025-08-09,ΑΡΝΑΙΑΣ,4,ΠΟΛΥ ΥΨΗΛΗ,True
2025-08-09,ΑΡΤΑΣ Δ.Δ.,3,ΥΨΗΛΗ,True
2025-08-09,ΑΤΑΛΑΝΤΗΣ,4,ΠΟΛΥ ΥΨΗΛΗ,True
2025-08-09,ΒΕΡΟΙΑΣ,2,ΜΕΣΗ,True
2025-08-09,ΒΟΛΟΥ,3,ΥΨΗΛΗ,True
2025-08-09,ΒΥΤΙΝΑΣ,4,ΠΟΛΥ ΥΨΗΛΗ,True
2025-08-09,ΓΟΥΜΕΝΙΣΣΑΣ,2,ΜΕΣΗ,True
2025-08-09,ΓΡΕΒΕΝΩΝ Δ.Δ.,2,ΜΕΣΗ,True
2025-08-09,ΓΥΘΕΙΟΥ,5,ΚΑΤΑΣΤΑΣΗ ΣΥΝΑΓΕΡΜΟΥ,True
2025-08-09,ΔΙΔΥΜΟΤΕΙΧΟΥ,4,ΠΟΛΥ ΥΨΗΛΗ,True
2025-08-09,ΔΡΑΜΑΣ,2,ΜΕΣΗ,True
2025-08-09,ΔΩΔΕΚΑΝΗΣΟΥ Δ.Δ.,3,ΥΨΗΛΗ,True
2025-08-09,ΕΔΕΣΣΑΣ,2,ΜΕΣΗ,True
2025-08-09,ΕΛΑΣΣΟΝΑΣ,3,ΥΨΗΛΗ,True
2025-08-09,ΖΑΚΥΝΘΟΥ Δ.Δ.,4,ΠΟΛΥ ΥΨΗΛΗ,True
